gameID,title,minPlayers,maxPlayers,maxPlaytime,minPlaytime,yearPublished
G542,"Teotihuacan: City of Gods",1,4,120,90,2018
G543,"Terror Below",1,5,60,45,2019
G544,"Terror in Meeple City",2,4,30,30,2013
G545,"Terrorscape",2,4,45,30,2023
G546,"This Game Is Killer: Alien on Board",3,10,15,10,2024
G547,"Those Pesky Humans!",2,4,90,90,2009
G548,"Three Kingdoms Redux",3,3,165,135,2014
G549,"Thunderstone Advance: Towers of Ruin",1,5,45,45,2012
G550,"Thurn and Taxis",2,4,60,60,2006
G551,"Ticket to Ride",2,5,60,30,2004
G552,"Ticket to Ride: Europe",2,5,60,30,2005
G553,"Tides of Time",2,2,20,20,2015
G554,"Tiefe Taschen",4,8,50,20,2016
G555,"Tigris & Euphrates",2,4,120,60,1997
G556,"Tiki Topple",2,4,20,20,2008
G557,"Time's Up!",4,18,90,90,1999
G558,"Time's Up! Title Recall!",4,18,60,60,2008
G559,"Timeline: Events",2,8,15,15,2011
G560,"Timeline: Inventions",2,8,15,15,2010
G561,"Timeline: Music & Cinema",2,8,15,15,2013
G562,"Timeline: Science & Discoveries",2,8,15,15,2011
G563,"Tiny Epic Defenders",1,4,30,30,2015
G564,"Tiny Epic Galaxies",1,5,45,30,2015
G565,"Tobago",2,4,60,60,2009
G566,"Tofu Kingdom",3,8,30,10,2015
G567,"Tokaido",1,5,45,45,2012
G568,"Torres",2,4,60,60,1999
G569,"Tournay",2,4,60,30,2011
G570,"Trekking Through History",1,4,60,30,2022
G571,"Tribes: Dawn of Humanity",2,4,45,45,2018
G572,"Trio",3,6,15,15,2021
G573,"Truffle Shuffle",2,4,30,15,2020
G574,"Tumult Royale",2,4,40,40,2015
G575,"Tutankhamun",2,6,30,30,2021
G576,"Twister",2,4,10,10,1966
G577,"Uglydoll Card Game",2,6,15,15,2006
G578,"Ultimate Werewolf: Deluxe Edition",5,75,30,30,2014
G579,"Undermining",2,5,45,45,2011
G580,"Unlock!: Exotic Adventures",1,6,90,60,2018
G581,"Unlock!: Extraordinary Adventures",1,6,90,60,2022
G582,"Unlock!: Game Adventures",1,6,60,30,2021
G583,"Unlock!: Heroic Adventures",1,6,60,60,2018
G584,"Unlock!: Legendary Adventures",1,6,60,60,2021
G585,"Unlock!: Secret Adventures",1,6,60,60,2017
G586,"UNO Stacko",2,10,20,20,1994
G587,"Unusual Suspects",3,16,20,20,2015
G588,"The Vale of Eternity",2,4,45,30,2023
G589,"Vault Wars",3,5,60,45,2015
G590,"Il Vecchio",2,4,60,60,2012
G591,"Via Nebula",2,4,60,45,2016
